0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
198,85754,536,1176,2146,2359,3758,521,1812,382,383,575,568,3240,642,4759,640,1134,719,2268,10184,10799,445,5297,5285,2072,20429,5768,1043,1108,22190,20319,36994,724,10935,26410,1554
335,554,703,435,2301,2160,1601,536,744,372,366,2335,815,2951,1830,4991,4451,9054,1881,673,3253,1039,604,4267,2411,1169,1717,5760,1107,818,5227,23393,51429,80480,1553,29901,3650
221,598,10380,197,1633,2344,609,547,641,351,373,408,598,968,4560,4990,4480,810,1900,2207,1027,1053,2105,4980,5155,2175,3269,2145,1102,20610,1160,36007,6418,2746,1979,24399,2719
200,5869,606,311,2169,2357,1436,541,794,921,4338,1401,594,935,2921,5617,1435,1858,1900,2527,3022,2688,362,4963,4460,1648,709,3818,1092,1111,2187,22833,89359,93313,2253,19272,11233
175,377,767,668,440,2351,2365,716,3548,825,376,217,555,539,2448,4906,1145,12286,2249,2045,2342,903,712,5357,2180,3819,1562,1013,1018,2601,761,5806,6032,883,9461,23753,2189
199,568,583,1859,767,2591,1590,523,4202,385,350,546,804,4988,728,5343,1606,1486,650,2398,3109,2677,2344,5243,2483,2838,1377,1402,998,505,1668,24636,36583,953,12811,1001,950
214,397,1286,980,300,2358,370,534,620,348,1514,397,603,695,2261,4684,902,7907,1326,3474,3082,1597,2879,5657,5179,1075,1475,833,3111,746,1031,5591,18623,25783,9435,766,5766
242,710,743,2067,2316,2541,2204,12626,1668,386,383,373,595,1655,343,1336,1149,1756,631,1975,1533,917,565,4913,2242,9915,1528,1992,3096,1527,18995,22484,1239,4250,17822,1151,1370
226,541,273,248,466,2279,2300,524,835,375,400,367,1618,6158,4596,4482,632,2019,4587,2556,2281,2872,3626,7505,11178,4477,1670,5490,686,3653,1878,21651,2338,925,17991,8847,1717
182,98774,310,645,2147,2315,2172,598,3648,365,377,389,767,2594,1167,357,5043,7231,558,2126,2272,855,10093,1883,5505,2175,7646,6707,1082,997,1823,24663,1332,58619,1099,501,4936
198,405,571,1178,619,2363,1556,561,594,389,1191,377,566,2244,2640,4838,4789,4206,1924,2228,2815,614,5995,6054,2445,2920,3212,5844,14946,3954,1250,26581,51195,80584,11067,27190,1786
222,612,326,331,2138,2292,2432,1397,3102,369,429,381,1435,557,6998,4942,5328,836,319,2281,1393,2898,292,1291,1171,1143,2834,1010,1082,1525,1153,23780,21073,925,1520,1057,627
249,582,926,707,2395,2218,28480,1050,649,370,390,3352,593,560,5029,4973,4391,1689,859,2088,2754,859,6852,4016,2926,12706,908,1080,12049,517,1369,22011,60410,618,1002,29365,1474
217,606,787,579,2283,2418,2246,578,374,1593,391,976,622,6281,1177,4936,1147,1603,1452,568,2934,1290,302,6044,1340,2199,2102,5520,1119,10223,1439,20227,56922,979,15670,22701,1840
178,429,614,474,743,2708,582,726,577,353,11803,398,5138,1281,12400,4881,5470,1599,2579,2452,1455,2520,2692,6355,2467,540,12466,14920,1011,714,1181,23501,54155,62643,1609,11632,1549
470,515,821,453,2283,2151,2376,582,727,369,391,372,66740,2267,2581,4952,4150,892,1997,7878,2209,11877,9473,5003,1830,18923,1759,2113,1001,1855,4194,21976,61111,72691,16185,4122,788
